PLTR,135.73,buy,EMA breakout,133.50,136.50,2026-05-12T14:08:00Z
PLTR,135.71,buy,EMA breakout,133.50,136.50,2026-05-12T14:08:00Z
PLTR,134.16,buy,EMA breakout,134.16,134.16,2026-05-12T15:34:00Z,276919,790078,False
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,771768.1333333333,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717221.1,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,305213.817948718,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.4,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.9846153846,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116301.13846153846,True,59.839523767388535,4
AAPL,294.8699951171875,BUY CALL,AAPL 296C,"May 15, 2026",1656813,649585.1461538462,True,63.78901726320325,4
QQQ,707.2000122070312,BUY CALL,QQQ 708C,"May 15, 2026",1879214,1553788.658974359,True,87.41427768409218,4
SPY,738.2000122070312,BUY CALL,SPY 739C,"May 15, 2026",3720127,999028.041025641,True,82.53953418819395,4
PLTR,136.02999877929688,BUY CALL,PLTR 137C,"May 15, 2026",1738571,667736.1564102564,True,84.64358043081661,4
SOFI,15.899999618530273,BUY CALL,SOFI 17C,"May 15, 2026",2403419,717216.082051282,True,55.86368424591524,4
HOOD,78.26000213623047,BUY CALL,HOOD 79C,"May 15, 2026",541189,263658.3794871795,True,56.64539589852969,4
NIO,6.090000152587891,BUY CALL,NIO 7C,"May 15, 2026",1366900,452759.2794871795,True,71.73921413572404,4
DIS,106.16999816894531,BUY CALL,DIS 107C,"May 15, 2026",568445,146503.18205128206,True,70.83312140786329,4
COIN,207.67999267578125,BUY CALL,COIN 209C,"May 15, 2026",447319,116298.8358974359,True,59.839523767388535,4
